,City,Latitude,Longitude,Max_temp,Humidity,Clouds,Wind_speed,Country,Date
0,san matias,-16.3667,-58.4,75.69,83,11,5.1,BO,1612152701
1,butaritari,3.0707,172.7902,81.25,82,53,14.03,KI,1612152399
2,harnosand,62.6323,17.9379,12.0,92,95,3.44,SE,1612152702
3,goderich,43.7501,-81.7165,15.8,57,94,10.36,CA,1612152436
4,bethel,41.3712,-73.414,19.99,58,90,6.91,US,1612152205
5,bluff,-46.6,168.3333,60.82,70,36,16.6,NZ,1612152434
6,faanui,-16.4833,-151.75,80.6,76,61,11.01,PF,1612152453
7,tuktoyaktuk,69.4541,-133.0374,-27.4,75,20,3.44,CA,1612152437
8,georgetown,5.4112,100.3354,86.0,62,20,9.22,MY,1612152384
9,ponta do sol,32.6667,-17.1,55.99,52,0,1.99,PT,1612152462
10,upernavik,72.7868,-56.1549,5.14,93,100,8.86,GL,1612152474
11,jamestown,42.097,-79.2353,26.01,80,90,9.22,US,1612152452
12,atuona,-9.8,-139.0333,78.75,76,5,18.52,PF,1612152420
13,ushuaia,-54.8,-68.3,50.0,76,75,13.8,AR,1612152239
14,velka nad velickou,48.8826,17.5206,24.01,86,37,6.91,CZ,1612152703
15,solnechnyy,50.7214,136.6319,-10.66,84,80,4.5,RU,1612152704
16,chilliwack,49.1747,-121.9443,39.2,100,100,1.14,CA,1612152452
17,kachiry,53.0675,76.1036,4.53,93,100,7.58,KZ,1612152704
18,port hedland,-20.3167,118.5667,78.8,100,90,21.85,AU,1612152704
19,kavieng,-2.5744,150.7967,83.91,80,99,15.64,PG,1612152222
20,vaini,-21.2,-175.2,78.8,94,90,8.05,TO,1612152432
21,orel-izumrud,43.4583,39.9244,44.01,81,100,11.18,RU,1612152704
22,avera,33.194,-82.5271,46.4,97,90,3.44,US,1612152506
23,zhigansk,66.7697,123.3711,-42.11,79,51,5.28,RU,1612152460
24,ponta do sol,32.6667,-17.1,55.99,52,0,1.99,PT,1612152462
25,busselton,-33.65,115.3333,86.0,36,0,3.0,AU,1612152183
26,pangody,65.85,74.4859,-9.18,90,81,8.16,RU,1612152705
27,hilo,19.7297,-155.09,77.0,61,1,8.05,US,1612152172
28,mataura,-46.1927,168.8643,73.94,47,46,6.55,NZ,1612152429
29,hongjiang,27.11,109.9956,50.92,82,88,2.46,CN,1612152706
30,hermanus,-34.4187,19.2345,59.0,79,95,15.41,ZA,1612152431
31,beboto,8.2668,16.939,70.59,24,0,4.65,TD,1612152706
32,kapaa,22.0752,-159.319,73.4,73,40,11.5,US,1612152400
33,lata,40.1629,-8.3327,57.0,98,89,1.01,PT,1612152284
34,dali,25.7,100.1833,54.77,40,49,4.5,CN,1612152706
35,chokurdakh,70.6333,147.9167,-18.29,87,100,11.25,RU,1612152434
36,singaparna,-7.3515,108.111,88.41,50,99,1.74,ID,1612152707
37,gavle,60.6745,17.1417,17.01,81,59,3.0,SE,1612152438
38,serebryansk,49.6925,83.2892,-7.6,84,75,5.39,KZ,1612152707
39,new norfolk,-42.7826,147.0587,75.99,44,100,1.99,AU,1612152437
40,victoria,22.2855,114.1577,75.99,75,56,8.32,HK,1612152407
41,zhangye,38.9342,100.4517,30.87,63,0,5.1,CN,1612152707
42,nome,64.5011,-165.4064,6.8,56,90,13.8,US,1612152707
43,hualmay,-11.0964,-77.6139,69.98,82,99,9.42,PE,1612152708
44,yellowknife,62.456,-114.3525,-7.6,84,75,5.75,CA,1612152442
45,hobart,-42.8794,147.3294,75.99,82,75,20.71,AU,1612152437
46,ilhabela,-23.7781,-45.3581,77.07,83,98,4.0,BR,1612152708
47,wahiawa,21.5028,-158.0236,77.0,73,20,4.61,US,1612152708
48,cape town,-33.9258,18.4232,64.0,72,0,21.85,ZA,1612152253
49,komsomolskiy,40.4272,71.7189,39.2,52,40,2.19,UZ,1612152654
50,qaanaaq,77.484,-69.3632,-4.13,88,100,2.51,GL,1612152402
51,westport,41.1415,-73.3579,24.8,54,90,12.66,US,1612152551
52,alice springs,-23.7,133.8833,98.6,20,0,13.8,AU,1612152495
53,puerto ayora,-0.7393,-90.3518,78.01,91,36,3.0,EC,1612152440
54,gariaband,20.635,82.0614,71.4,21,0,2.15,IN,1612152709
55,inirida,3.8653,-67.9239,74.35,96,100,2.06,CO,1612152705
56,sokolo,14.7328,-6.1219,66.78,21,65,10.51,ML,1612152710
57,allapalli,19.4167,80.0667,78.06,24,0,1.01,IN,1612152710
58,maceio,-9.6658,-35.7353,73.4,94,40,3.44,BR,1612152484
59,sorland,67.667,12.6934,19.4,93,0,3.44,NO,1612152326
60,avarua,-21.2078,-159.775,84.2,70,75,5.75,CK,1612152429
61,bathsheba,13.2167,-59.5167,78.8,65,40,21.85,BB,1612152444
62,khatanga,71.9667,102.5,-36.56,82,1,8.7,RU,1612152407
63,hlukhiv,51.6782,33.9162,13.68,95,3,4.47,UA,1612152711
64,albany,42.6001,-73.9662,15.01,55,100,2.26,US,1612152429
65,cape town,-33.9258,18.4232,64.0,72,0,21.85,ZA,1612152253
66,isabela,6.7085,121.9711,86.0,66,90,9.22,PH,1612152711
67,cidreira,-30.1811,-50.2056,73.31,93,100,6.71,BR,1612152432
68,thompson,55.7435,-97.8558,5.0,85,40,2.3,CA,1612152237
69,bredasdorp,-34.5322,20.0403,59.0,79,95,10.96,ZA,1612152429
70,bluefield,37.2698,-81.2223,34.0,100,90,1.59,US,1612152712
71,port hardy,50.6996,-127.4199,42.8,100,90,4.61,CA,1612152600
72,nuuk,64.1835,-51.7216,17.6,79,90,6.91,GL,1612152485
73,scarborough,54.2797,-0.4044,37.0,75,79,3.0,GB,1612152712
74,griffith,41.5284,-87.4237,33.8,64,90,10.36,US,1612152713
75,rocha,-34.4833,-54.3333,67.89,83,100,8.79,UY,1612152470
76,san jose,37.3394,-121.895,57.2,58,75,2.1,US,1612152222
