,City,Latitude,Longitude,Max_temp,Humidity,Clouds,Wind_speed,Country,Date
0,new%20norfolk,-42.7826,147.0587,72.0,56,75,12.66,AU,1612151730
1,nauta,-4.5061,-73.5757,73.22,96,99,0.56,PE,1612151730
2,cidreira,-30.1811,-50.2056,73.31,93,100,6.71,BR,1612151538
3,yellowknife,62.456,-114.3525,-7.6,84,75,5.75,CA,1612151533
4,bilibino,68.0546,166.4372,-6.0,85,100,12.24,RU,1612151730
5,jamestown,42.097,-79.2353,26.01,80,90,8.05,US,1612151731
6,albany,42.6001,-73.9662,16.0,55,100,2.26,US,1612151731
7,norman%20wells,65.282,-126.8329,-23.8,76,75,5.75,CA,1612151731
8,adrar,20.5022,-10.0711,64.04,27,83,8.97,MR,1612151731
9,tuy%20hoa,13.0833,109.3,75.29,74,85,12.53,VN,1612151731
10,pangnirtung,66.1451,-65.7125,-6.92,86,100,7.02,CA,1612151731
11,basco,20.4487,121.9702,73.04,78,23,14.14,PH,1612151563
12,cururupu,-1.8283,-44.8683,76.21,90,92,3.91,BR,1612151732
13,rikitea,-23.1203,-134.9692,79.63,64,19,6.71,PF,1612151732
14,ribeira%20grande,38.5167,-28.7,63.34,84,99,33.13,PT,1612151732
15,bonavista,48.6499,-53.1147,30.0,93,100,6.91,CA,1612151732
16,cape%20town,-33.9258,18.4232,64.0,72,0,21.85,ZA,1612151454
17,yatou,37.15,122.3833,43.21,57,26,17.65,CN,1612151733
18,maceio,-9.6658,-35.7353,73.4,94,40,3.44,BR,1612151733
19,saskylakh,71.9167,114.0833,-31.09,83,62,7.49,RU,1612151733
20,kodiak,57.79,-152.4072,30.2,64,1,5.75,US,1612151733
21,khatanga,71.9667,102.5,-36.74,82,0,8.81,RU,1612151541
22,qaanaaq,77.484,-69.3632,-4.47,88,100,1.86,GL,1612151734
23,belousovka,50.1339,82.5239,-7.6,84,75,1.92,KZ,1612151734
24,geraldton,-28.7667,114.6,102.2,14,0,21.85,AU,1612151734
25,busselton,-33.65,115.3333,84.99,37,0,4.0,AU,1612151541
26,cabedelo,-6.9811,-34.8339,78.8,83,20,9.22,BR,1612151734
27,san%20quintin,30.4833,-115.95,59.27,66,98,7.94,MX,1612151553
28,norman%20wells,65.282,-126.8329,-23.8,76,75,5.75,CA,1612151731
29,aklavik,68.2191,-135.0107,-20.2,76,100,5.75,CA,1612151734
