,City,Latitude,Longitude,Max_temp,Humidity,Clouds,Wind_speed,Country,Date
0,kapaa,22.0752,-159.319,73.0,88,40,9.22,US,1612392712
1,yellowknife,62.456,-114.3525,-15.0,69,90,6.91,CA,1612392485
2,clinton,42.587,-82.9199,37.4,51,20,5.75,US,1612392517
3,hobart,-42.8794,147.3294,61.0,94,75,10.36,AU,1612392712
4,vaini,-21.2,-175.2,82.4,89,75,10.36,TO,1612392712
5,khatanga,71.9667,102.5,-6.16,90,99,12.53,RU,1612392712
6,nikolskoye,59.7035,30.7861,19.0,86,75,17.9,RU,1612392712
7,sakakah,29.9697,40.2064,60.8,39,20,5.75,SA,1612392518
8,mucuri,-18.0864,-39.5508,77.85,83,64,10.94,BR,1612392518
9,puerto ayora,-0.7393,-90.3518,84.2,65,0,10.36,EC,1612392713
10,tuktoyaktuk,69.4541,-133.0374,-40.0,67,20,5.75,CA,1612392518
11,torbay,47.6666,-52.7314,46.4,100,90,20.71,CA,1612392518
12,dunedin,-45.8742,170.5036,55.99,65,61,10.0,NZ,1612392713
13,teahupoo,-17.8333,-149.2667,80.6,74,40,6.91,PF,1612392519
14,ushuaia,-54.8,-68.3,53.6,58,75,5.75,AR,1612392684
15,ilulissat,69.2167,-51.1,-5.8,45,20,12.66,GL,1612392519
16,castro,-24.7911,-50.0119,70.59,86,60,4.56,BR,1612392519
17,san quintin,30.4833,-115.95,63.54,71,67,16.26,MX,1612392519
18,omsukchan,62.5333,155.8,-11.25,87,100,14.07,RU,1612392519
19,georgetown,5.4112,100.3354,78.8,73,20,2.3,MY,1612392504
20,saskylakh,71.9167,114.0833,-35.34,79,46,7.16,RU,1612392714
21,kruisfontein,-34.0033,24.7314,70.0,82,0,1.01,ZA,1612392714
22,veraval,20.9,70.3667,68.05,52,0,10.29,IN,1612392714
23,chokurdakh,70.6333,147.9167,-4.34,92,98,8.88,RU,1612392520
24,lorengau,-2.0226,147.2712,83.39,70,65,1.1,PG,1612392520
25,butaritari,3.0707,172.7902,81.61,83,71,17.31,KI,1612392715
26,miraflores,19.2167,-98.8083,77.0,8,1,8.05,MX,1612392520
27,bansko,41.8383,23.4885,43.0,82,21,1.01,BG,1612392521
28,dikson,73.5069,80.5464,-5.1,91,100,13.33,RU,1612392521
29,mataura,-46.1927,168.8643,59.05,47,32,7.31,NZ,1612392715
30,atuona,-9.8,-139.0333,78.03,71,1,9.89,PF,1612392715
31,vestmannaeyjar,63.4427,-20.2734,38.07,77,90,34.2,IS,1612392521
32,virginia beach,36.8529,-75.978,43.0,45,75,4.61,US,1612392521
33,mutare,-18.9707,32.6709,67.5,98,85,2.75,ZW,1612392521
34,hithadhoo,-0.6,73.0833,82.62,74,96,9.4,MV,1612392716
35,camacha,33.0833,-16.3333,55.4,82,20,6.91,PT,1612392522
36,luanda,-8.8368,13.2343,80.6,78,40,10.36,AO,1612391864
37,jiuquan,39.7432,98.5174,20.32,68,7,1.21,CN,1612392522
38,carahue,-38.7,-73.1667,80.6,57,0,9.22,CL,1612392522
39,busselton,-33.65,115.3333,51.01,77,0,17.43,AU,1612392717
40,lukovetskiy,64.2956,41.9211,1.4,78,40,6.71,RU,1612392522
41,marathon,44.9,-89.7668,33.8,44,1,10.36,US,1612392282
42,mae hong son,19.3003,97.9685,57.97,41,0,1.61,TH,1612392523
43,rikitea,-23.1203,-134.9692,78.33,70,0,12.91,PF,1612392717
44,alofi,-19.0595,-169.9187,80.04,83,100,18.88,NU,1612392523
45,bluff,-46.6,168.3333,55.26,63,51,16.62,NZ,1612392717
46,durazno,-33.4131,-56.5006,66.63,94,100,12.24,UY,1612392523
47,geraldton,-28.7667,114.6,69.8,68,8,21.85,AU,1612392718
48,roma,43.2128,-75.4557,27.0,68,90,8.05,US,1612392459
49,avera,33.194,-82.5271,51.8,28,1,6.91,US,1612392718
50,masumbwe,-3.6333,32.1833,63.68,94,75,2.42,TZ,1612392524
51,clarence town,-32.5833,151.7833,80.01,65,0,9.22,AU,1612392718
52,kodiak,57.79,-152.4072,33.8,80,1,0.38,US,1612392443
53,gloversville,43.0528,-74.3438,27.0,93,90,11.5,US,1612392524
